2019
iter:11000,transfer:2.10795,classifier:0.19593,heuristic:0.18739,relate:1.48679,gaussian:7.92175
iter:11100,transfer:2.05515,classifier:0.18545,heuristic:0.18481,relate:1.46455,gaussian:6.23708
iter:11200,transfer:2.09685,classifier:0.27446,heuristic:0.18765,relate:1.47935,gaussian:7.55099
iter:11300,transfer:2.08163,classifier:0.04886,heuristic:0.19049,relate:1.46622,gaussian:6.72049
iter:11400,transfer:2.06332,classifier:0.72765,heuristic:0.18495,relate:1.46713,gaussian:6.95490
iter:11500,transfer:2.18004,classifier:0.19091,heuristic:0.18200,relate:1.46153,gaussian:7.46151
iter:11600,transfer:2.16902,classifier:0.04139,heuristic:0.18319,relate:1.47045,gaussian:7.99655
iter:11700,transfer:2.09476,classifier:0.41170,heuristic:0.18667,relate:1.46082,gaussian:6.88342
iter:11800,transfer:2.29443,classifier:0.13630,heuristic:0.18301,relate:1.47832,gaussian:7.82220
iter:11900,transfer:2.17593,classifier:0.06867,heuristic:0.17735,relate:1.47733,gaussian:6.93666
iter: 11999, precision: 0.73561
iter:12000,transfer:2.11721,classifier:0.10942,heuristic:0.18202,relate:1.45844,gaussian:6.96686
iter:12100,transfer:2.13018,classifier:0.11872,heuristic:0.17890,relate:1.47353,gaussian:6.80938
iter:12200,transfer:2.10325,classifier:0.17851,heuristic:0.18596,relate:1.47089,gaussian:5.78034
iter:12300,transfer:2.19454,classifier:0.19180,heuristic:0.17430,relate:1.46834,gaussian:6.99774
iter:12400,transfer:2.08516,classifier:0.19933,heuristic:0.17922,relate:1.45312,gaussian:6.90388
iter:12500,transfer:2.07477,classifier:0.09660,heuristic:0.17629,relate:1.47931,gaussian:6.77919
iter:12600,transfer:2.06676,classifier:0.09825,heuristic:0.17895,relate:1.46938,gaussian:6.72180
iter:12700,transfer:2.10018,classifier:0.62639,heuristic:0.16782,relate:1.47342,gaussian:7.38695
iter:12800,transfer:2.13254,classifier:0.10583,heuristic:0.17114,relate:1.46530,gaussian:7.14218
iter:12900,transfer:2.04302,classifier:0.17021,heuristic:0.17351,relate:1.46732,gaussian:6.85963
iter: 12999, precision: 0.73724
iter:13000,transfer:2.13106,classifier:0.04946,heuristic:0.17273,relate:1.45933,gaussian:7.34998
iter:13100,transfer:2.13986,classifier:0.16795,heuristic:0.16790,relate:1.46454,gaussian:7.16546
iter:13200,transfer:2.18596,classifier:0.15123,heuristic:0.17035,relate:1.44106,gaussian:6.64211
iter:13300,transfer:2.09310,classifier:0.14980,heuristic:0.17102,relate:1.45209,gaussian:6.73853
iter:13400,transfer:2.15701,classifier:0.11914,heuristic:0.16717,relate:1.46320,gaussian:7.27211
iter:13500,transfer:2.17150,classifier:0.32147,heuristic:0.17044,relate:1.47059,gaussian:6.36810
iter:13600,transfer:2.20434,classifier:0.07335,heuristic:0.16883,relate:1.42100,gaussian:5.85730
iter:13700,transfer:2.20542,classifier:0.14779,heuristic:0.16354,relate:1.44872,gaussian:6.21654
iter:13800,transfer:2.17144,classifier:0.13278,heuristic:0.16863,relate:1.45091,gaussian:6.50378
iter:13900,transfer:2.22999,classifier:0.14656,heuristic:0.17067,relate:1.45748,gaussian:6.80999
iter: 13999, precision: 0.73692
iter:14000,transfer:2.17439,classifier:0.33909,heuristic:0.16637,relate:1.44690,gaussian:7.11947
iter:14100,transfer:2.10786,classifier:0.23371,heuristic:0.16796,relate:1.44228,gaussian:6.38855
iter:14200,transfer:2.20242,classifier:0.03623,heuristic:0.16538,relate:1.43416,gaussian:6.03816
iter:14300,transfer:2.05087,classifier:0.20430,heuristic:0.16608,relate:1.44859,gaussian:6.49484
iter:14400,transfer:2.03510,classifier:0.30268,heuristic:0.16003,relate:1.44889,gaussian:6.75308
iter:14500,transfer:2.02486,classifier:0.12459,heuristic:0.16286,relate:1.45038,gaussian:6.57096
iter:14600,transfer:2.15494,classifier:0.55880,heuristic:0.15908,relate:1.44265,gaussian:6.61913
iter:14700,transfer:2.00367,classifier:0.22480,heuristic:0.15669,relate:1.44281,gaussian:6.29427
iter:14800,transfer:2.09250,classifier:0.02988,heuristic:0.15799,relate:1.42468,gaussian:6.78573
iter:14900,transfer:2.06096,classifier:0.02506,heuristic:0.15869,relate:1.42245,gaussian:5.97683
iter: 14999, precision: 0.73659
iter:15000,transfer:2.21347,classifier:0.03806,heuristic:0.15676,relate:1.44422,gaussian:6.72818
iter:15100,transfer:2.08722,classifier:0.17836,heuristic:0.16306,relate:1.43226,gaussian:6.38791
iter:15200,transfer:2.12133,classifier:0.09999,heuristic:0.15885,relate:1.43920,gaussian:6.50192
iter:15300,transfer:2.10772,classifier:0.07596,heuristic:0.15845,relate:1.46437,gaussian:6.63120
iter:15400,transfer:2.18576,classifier:0.13093,heuristic:0.15471,relate:1.41321,gaussian:6.53487
iter:15500,transfer:2.06716,classifier:0.49145,heuristic:0.15214,relate:1.43608,gaussian:6.51347
iter:15600,transfer:2.19991,classifier:0.07572,heuristic:0.15775,relate:1.43994,gaussian:7.00713
iter:15700,transfer:2.12095,classifier:0.03425,heuristic:0.15338,relate:1.45336,gaussian:6.95454
iter:15800,transfer:2.11025,classifier:0.30416,heuristic:0.14911,relate:1.42004,gaussian:5.87657
iter:15900,transfer:2.10094,classifier:0.30858,heuristic:0.15192,relate:1.42287,gaussian:6.15303
iter: 15999, precision: 0.73855
iter:16000,transfer:2.10227,classifier:0.05143,heuristic:0.15294,relate:1.42666,gaussian:6.40883
iter:16100,transfer:2.18496,classifier:0.10482,heuristic:0.14803,relate:1.43945,gaussian:6.37031
iter:16200,transfer:2.18445,classifier:0.12084,heuristic:0.15129,relate:1.42683,gaussian:6.35634
iter:16300,transfer:2.20399,classifier:0.25161,heuristic:0.15474,relate:1.42563,gaussian:6.06834
iter:16400,transfer:2.16964,classifier:0.35987,heuristic:0.15153,relate:1.41938,gaussian:6.50935
iter:16500,transfer:2.09649,classifier:0.01121,heuristic:0.14311,relate:1.44005,gaussian:6.64948
iter:16600,transfer:2.12698,classifier:0.00351,heuristic:0.14550,relate:1.42846,gaussian:6.82073
iter:16700,transfer:2.11236,classifier:0.07393,heuristic:0.14741,relate:1.43660,gaussian:6.62828
iter:16800,transfer:2.15605,classifier:0.15343,heuristic:0.14478,relate:1.40882,gaussian:6.95796
iter:16900,transfer:2.23324,classifier:0.30792,heuristic:0.14368,relate:1.40804,gaussian:6.46700
iter: 16999, precision: 0.73823
iter:17000,transfer:2.03813,classifier:0.25197,heuristic:0.14689,relate:1.43807,gaussian:7.37214
iter:17100,transfer:2.12073,classifier:0.03232,heuristic:0.14737,relate:1.43023,gaussian:6.88970
iter:17200,transfer:2.19226,classifier:0.19967,heuristic:0.14325,relate:1.42942,gaussian:6.38378
iter:17300,transfer:2.15472,classifier:0.07225,heuristic:0.14599,relate:1.41694,gaussian:6.93336
iter:17400,transfer:2.15308,classifier:0.10876,heuristic:0.14410,relate:1.43228,gaussian:6.48269
iter:17500,transfer:2.14461,classifier:0.10019,heuristic:0.14404,relate:1.41969,gaussian:5.81850
iter:17600,transfer:2.09233,classifier:0.01165,heuristic:0.14155,relate:1.41043,gaussian:5.93754
iter:17700,transfer:2.13488,classifier:0.05615,heuristic:0.14077,relate:1.40760,gaussian:6.17458
iter:17800,transfer:2.15083,classifier:0.31740,heuristic:0.14279,relate:1.42447,gaussian:6.45214
iter:17900,transfer:2.05183,classifier:0.14203,heuristic:0.14268,relate:1.39762,gaussian:5.84268
iter: 17999, precision: 0.73735
iter:18000,transfer:2.12085,classifier:0.05351,heuristic:0.13712,relate:1.42491,gaussian:6.90044
iter:18100,transfer:2.08338,classifier:0.15395,heuristic:0.13750,relate:1.40727,gaussian:5.67864
iter:18200,transfer:2.08086,classifier:0.06144,heuristic:0.14011,relate:1.40865,gaussian:6.01290
iter:18300,transfer:2.13165,classifier:0.24156,heuristic:0.14019,relate:1.41985,gaussian:6.05814
iter:18400,transfer:2.14401,classifier:0.10184,heuristic:0.14162,relate:1.40265,gaussian:5.71813
iter: 18499, precision: 0.73888
iter:18500,transfer:2.07514,classifier:0.12015,heuristic:0.14239,relate:1.40155,gaussian:5.75762
iter:18600,transfer:2.06296,classifier:0.34386,heuristic:0.13838,relate:1.39342,gaussian:5.30761
iter:18700,transfer:2.12421,classifier:0.19027,heuristic:0.13643,relate:1.43245,gaussian:6.85909
iter:18800,transfer:2.16701,classifier:0.03474,heuristic:0.13898,relate:1.42083,gaussian:6.07010
iter:18900,transfer:2.11995,classifier:0.17393,heuristic:0.13613,relate:1.41435,gaussian:5.87788
iter: 18999, precision: 0.73817
iter:19000,transfer:2.12542,classifier:0.07603,heuristic:0.13533,relate:1.40202,gaussian:5.57103
iter:19100,transfer:2.07613,classifier:0.19396,heuristic:0.13383,relate:1.43650,gaussian:6.16436
iter:19200,transfer:2.12095,classifier:0.03449,heuristic:0.13232,relate:1.42489,gaussian:6.11471
iter:19300,transfer:2.30053,classifier:0.07302,heuristic:0.13481,relate:1.41082,gaussian:5.62603
iter:19400,transfer:2.21290,classifier:0.26829,heuristic:0.13009,relate:1.43126,gaussian:6.13419
iter: 19499, precision: 0.73779
iter:19500,transfer:2.12028,classifier:0.00971,heuristic:0.13737,relate:1.39018,gaussian:5.12089
iter:19600,transfer:2.12616,classifier:0.08777,heuristic:0.13234,relate:1.41122,gaussian:6.14622
iter:19700,transfer:2.19801,classifier:0.16516,heuristic:0.13208,relate:1.38352,gaussian:5.83375
iter:19800,transfer:2.18992,classifier:0.04374,heuristic:0.13136,relate:1.41637,gaussian:6.27786
iter:19900,transfer:2.22008,classifier:0.24166,heuristic:0.13143,relate:1.40824,gaussian:6.01413
iter: 19999, precision: 0.73839
iter:20000,transfer:2.11298,classifier:0.07169,heuristic:0.12864,relate:1.38378,gaussian:6.20375
